sample_id	cluster_id	abundance	member_taxids	member_taxa	read_count	matched_genera
barcode17_120_filtered	120	0.042364	397260;529705;1632740;2305907;2698828;2873268;3103142;3163295	397260||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sanxanigenens;529705||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas changbaiensis;1632740||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas zeicaulis;2305907||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas gilva;2698828||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas lacunae;2873268||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Hephaestia|Hephaestia mangrovi;3103142||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas rustica;3163295||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas plantiphila	1980.549038	Sphingomonas
barcode18_120_filtered	120	0.044368	397260;529705;1632740;2305907;2698828;2873268;3103142;3163295	397260||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas sanxanigenens;529705||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas changbaiensis;1632740||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas zeicaulis;2305907||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas gilva;2698828||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas lacunae;2873268||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Hephaestia|Hephaestia mangrovi;3103142||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas rustica;3163295||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas plantiphila	2067.273018	Sphingomonas
barcode14_120_filtered	133	0.000235	55583	55583||Bacillota|Clostridia|Eubacteriales|Desulfitobacteriaceae|Dehalobacter|Dehalobacter restrictus	11.000000	Dehalobacter
barcode16_120_filtered	133	0.000926	55583	55583||Bacillota|Clostridia|Eubacteriales|Desulfitobacteriaceae|Dehalobacter|Dehalobacter restrictus	43.000000	Dehalobacter
barcode17_120_filtered	133	0.001818	55583	55583||Bacillota|Clostridia|Eubacteriales|Desulfitobacteriaceae|Dehalobacter|Dehalobacter restrictus	85.000002	Dehalobacter
barcode18_120_filtered	133	0.001309	55583	55583||Bacillota|Clostridia|Eubacteriales|Desulfitobacteriaceae|Dehalobacter|Dehalobacter restrictus	61.000000	Dehalobacter
barcode13_120_filtered	134	0.001934	173676;1778672;2871811;3056842	173676||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium hassiacum;1778672||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium flavum;2871811||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium percolationis;3056842||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium pituita	90.218885	Novosphingobium
barcode14_120_filtered	134	0.004008	173676;1778672;2871811;3056842	173676||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium hassiacum;1778672||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium flavum;2871811||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium percolationis;3056842||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium pituita	187.324970	Novosphingobium
barcode15_120_filtered	134	0.002760	173676;1778672;2871811;3056842	173676||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium hassiacum;1778672||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium flavum;2871811||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium percolationis;3056842||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium pituita	129.215259	Novosphingobium
barcode16_120_filtered	134	0.001796	173676;1778672;2871811;3056842	173676||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium hassiacum;1778672||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium flavum;2871811||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium percolationis;3056842||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium|Novosphingobium pituita	83.384085	Novosphingobium
