sample_id	cluster_id	estimated_counts	abundance	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group
barcode15_120_filtered	22	26.81029055745531	0.0005727348391928246	2904799	Sphingomonas cremea	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	139	157.79312443775672	0.0033708556629372735	33052	Sphingopyxis terrae	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	139	87.01062689132172	0.0018587645402004171	173675	Sphingopyxis witflariensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	158	32.75374166387077	0.000699701815040712	2741495	Sphingomonas hominis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	139	33.63175428780259	0.0007184583599539124	2871171	Sphingopyxis jiangsuensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	181	195.0878753088087	0.004167564788378986	52692	Acetobacterium malicum	Acetobacterium	Eubacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode15_120_filtered	139	19.123312779739063	0.0004085217743636979	651663	Sphingopyxis bauzanensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	163	35.999995640038165	0.0007690499164734393	147266	Agrobacterium albertimagni	Agrobacterium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	192	52.00000012690373	0.001110850016596606	1550728	Blastomonas fulva	Blastomonas	Blastomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	23	46.034019489601754	0.0009834017536391394	2590199	Anaeromyxobacter diazotrophicus	Anaeromyxobacter	Anaeromyxobacteraceae	Myxococcales	Myxococcia	Myxococcota					
barcode15_120_filtered	23	13.965980510398236	0.0002983482623827356	2918171	Anaeromyxobacter paludicola	Anaeromyxobacter	Anaeromyxobacteraceae	Myxococcales	Myxococcia	Myxococcota					
barcode15_120_filtered	211	24.785266720608366	0.0005294752669374371	1305696	Novosphingobium arabidopsis	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	16	92.8067645343017	0.001982584532146327	3375356	Desulfitobacterium nosdiversum	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode15_120_filtered	38	52.18599281973658	0.0011148232855469138	49338	Desulfitobacterium hafniense	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode15_120_filtered	134	115.03178969677323	0.002457366638114401	173676	Novosphingobium hassiacum	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	226	65.72000366120068	0.0014039435957616945	1141888	Sphingomonas difficilis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	134	14.183469045203218	0.00030299436126558326	2871811	Novosphingobium percolationis	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	79	35.00000000000006	0.0007476875093460951	65655	Hydrogenophaga palleronii	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota					
barcode15_120_filtered	192	41.626118270761914	0.000889237962674626	1244894	Sphingomonas fonticola	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	120	26.658950480182114	0.0005695018367516633	2698828	Sphingomonas lacunae	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	158	79.57971347718693	0.0017000216504066763	2782540	Sphingomonas beigongshangi	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	120	48.355354842198885	0.0010418044779101343	3103142	Sphingomonas rustica	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	120	215.70500139946193	0.004647312321436215	1632740	Sphingomonas zeicaulis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	120	1559.7371073608808	0.03360416045159713	2873268	Hephaestia mangrovi	Hephaestia	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	120	64.80364118340982	0.0013961788469979495	397260	Sphingomonas sanxanigenens	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	155	85.03287820399466	0.0018320128881610398	1460355	Sphingomonas mohensis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	120	270.17400446250656	0.005820833878326113	2305907	Sphingomonas gilva	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	158	27.038428268742017	0.0005825364272054727	2175090	Sphingomonas pokkalii	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	1	29.000000000000444	0.0006247980178821597	233055	Desulfitobacterium dichloroeliminans	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode16_120_filtered	181	301.144391980481	0.006488083420887234	52692	Acetobacterium malicum	Acetobacterium	Eubacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode16_120_filtered	158	43.88263030638727	0.0009454407046512392	2782540	Sphingomonas beigongshangi	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	158	22.080357579675926	0.00047571598792795275	2949094	Sphingomonas liriopis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	155	22.74821783558107	0.000490104876345601	2771430	Allosphingosinicella flava	Allosphingosinicella	Sphingomicrobiaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	220	21.000001267888848	0.000452439971299986	365341	Sphingobium aromaticiconvertens	Sphingobium	Sphingobiaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	22	23.48371029288103	0.0005059508842589903	2908206	Sphingomonas brevis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	22	20.017862456104876	0.00043128002706247713	2908208	Sphingomonas alba	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	22	54.12246615087944	0.0011660555025504566	2904799	Sphingomonas cremea	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
