OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_113	barcode20	205	0.003867	1		Chytridiomycota	Chytridiomycetes	Gromochytriales	Gromochytriaceae	Gromochytrium	Gromochytrium mamkaevae
OTU_113	barcode21	372	0.003501	1		Chytridiomycota	Chytridiomycetes	Gromochytriales	Gromochytriaceae	Gromochytrium	Gromochytrium mamkaevae
OTU_68	barcode19	76	0.003632	1		Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis corymbifera
OTU_68	barcode20	139	0.002622	1		Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis corymbifera
OTU_68	barcode21	408	0.003839	1		Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis corymbifera
OTU_303	barcode19	78	0.003728	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Gorgonomycetaceae	Gorgonomyces	Gorgonomyces thailandicus
OTU_303	barcode20	221	0.004169	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Gorgonomycetaceae	Gorgonomyces	Gorgonomyces thailandicus
OTU_303	barcode21	324	0.003049	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Gorgonomycetaceae	Gorgonomyces	Gorgonomyces thailandicus
OTU_49	barcode19	82	0.003919	3		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella osmotolerans
OTU_49	barcode20	155	0.002924	3		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella osmotolerans
OTU_49	barcode21	351	0.003303	3		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella osmotolerans
OTU_294	barcode19	24	0.001147	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Buwchfawromyces	Buwchfawromyces eastonii
OTU_294	barcode20	152	0.002867	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Buwchfawromyces	Buwchfawromyces eastonii
OTU_294	barcode21	406	0.003821	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Buwchfawromyces	Buwchfawromyces eastonii
OTU_44	barcode19	122	0.005831	5		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	[Candida] blattariae
OTU_44	barcode20	200	0.003773	5		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	[Candida] blattariae
OTU_44	barcode21	256	0.002409	5		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	[Candida] blattariae
OTU_77	barcode19	41	0.001959	1		Mucoromycota	Glomeromycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora ecuadoriana
OTU_77	barcode20	195	0.003678	1		Mucoromycota	Glomeromycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora ecuadoriana
OTU_77	barcode21	333	0.003134	1		Mucoromycota	Glomeromycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora ecuadoriana
OTU_118	barcode19	0	0.000000	5		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Lobosporangium	Lobosporangium transversale
OTU_118	barcode20	108	0.002037	5		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Lobosporangium	Lobosporangium transversale
OTU_118	barcode21	456	0.004291	5		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Lobosporangium	Lobosporangium transversale
OTU_88	barcode19	438	0.020933	3		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum myosotidii
OTU_88	barcode20	45	0.000849	3		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum myosotidii
OTU_88	barcode21	79	0.000743	3		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum myosotidii
OTU_73	barcode19	33	0.001577	5		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces beijingensis
OTU_73	barcode20	116	0.002188	5		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces beijingensis
OTU_73	barcode21	409	0.003849	5		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces beijingensis
OTU_179	barcode19	35	0.001673	3		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces cellobiolyticus
OTU_179	barcode20	165	0.003112	3		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces cellobiolyticus
OTU_179	barcode21	306	0.002880	3		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces cellobiolyticus
OTU_46	barcode19	186	0.008889	8		Ascomycota	Sordariomycetes	Glomerellales	Australiascaceae	Monilochaetes	Monilochaetes dimorphospora
OTU_46	barcode20	142	0.002679	8		Ascomycota	Sordariomycetes	Glomerellales	Australiascaceae	Monilochaetes	Monilochaetes dimorphospora
OTU_46	barcode21	160	0.001506	8		Ascomycota	Sordariomycetes	Glomerellales	Australiascaceae	Monilochaetes	Monilochaetes dimorphospora
OTU_116	barcode19	39	0.001864	1		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae
OTU_116	barcode20	96	0.001811	1		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae
OTU_116	barcode21	327	0.003077	1		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae
OTU_271	barcode19	43	0.002055	1		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae
OTU_271	barcode20	138	0.002603	1		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae
OTU_271	barcode21	275	0.002588	1		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae
OTU_197	barcode19	40	0.001912	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana
OTU_197	barcode20	101	0.001905	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana
OTU_197	barcode21	308	0.002898	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana
OTU_258	barcode19	43	0.002055	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana
OTU_258	barcode20	73	0.001377	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana
OTU_258	barcode21	332	0.003124	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana
