sample_id	cluster_id	abundance	Kingdom	Phylum	Class	Order	Family	Genus	Species	ncbi tax number	read_count
barcode20	90	0.002074002588		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia laotica	2201245	216.4
barcode20	48	0.087733505846		Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii	3055	9155.4
barcode20	48	0.009322090450		Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri	3067	972.8
barcode20	122	0.031796131869		Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Chytridium	Chytridium olla	693156	3318.1
barcode20	36	0.000143740118		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella mangrovensis	463800	15.0
barcode20	229	0.008766813460		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora spurca	308927	914.9
barcode20	231	0.003704627525		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora aurantia	2650714	386.6
barcode20	251	0.033530275230		Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa	1972599	3499.1
barcode20	222	0.008667736110		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia solitaria	2991561	904.5
barcode20	128	0.000136999367		Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Boekhoutia	Boekhoutia sterigmata	2878256	14.3
barcode20	58	0.000394327910		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Jimgerdemannia	Jimgerdemannia lactiflua	324621	41.2
barcode20	78	0.001413328467		Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus heterosporus	423455	147.5
barcode20	58	0.020273434095		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Vinositunica	Vinositunica ingens	2704025	2115.6
barcode20	58	0.002068656455		Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Jimgerdemannia	Jimgerdemannia ambigua	2704023	215.9
barcode20	38	0.000351426755		Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella cylindrica	134358	36.7
