sample_id	cluster_id	abundance	member_taxids	member_taxa	read_count
barcode19	49	0.001926	45607;2832334;2832335	45607||Ascomycota|Dipodascomycetes|Dipodascales|Trichomonascaceae|Wickerhamiella|Wickerhamiella sorbophila;2832334||Ascomycota|Dipodascomycetes|Dipodascales|Trichomonascaceae|Wickerhamiella|Wickerhamiella osmotolerans;2832335||Ascomycota|Dipodascomycetes|Dipodascales|Trichomonascaceae|Wickerhamiella|Wickerhamiella tropicalis	82.400000
barcode19	50	0.000304	144539	144539||Mucoromycota|Glomeromycetes|Paraglomerales|Paraglomeraceae|Paraglomus|Paraglomus occultum	13.000000
barcode19	57	0.005412	27374;1079897	27374||Mucoromycota|Glomeromycetes|Diversisporales|Acaulosporaceae|Acaulospora|Acaulospora spinosa;1079897||Mucoromycota|Glomeromycetes|Diversisporales|Acaulosporaceae|Acaulospora|Acaulospora cavernata	231.600000
barcode19	58	0.013705	324621;1775466;2704021;2704023;2704024;2704025	324621||Mucoromycota|Endogonomycetes|Endogonales|Endogonaceae|Jimgerdemannia|Jimgerdemannia lactiflua;1775466||Mucoromycota|Endogonomycetes|Endogonales|Endogonaceae|Endogone|Endogone corticioides;2704021||Mucoromycota|Endogonomycetes|Endogonales|Endogonaceae|Endogone|Endogone botryocarpus;2704023||Mucoromycota|Endogonomycetes|Endogonales|Endogonaceae|Jimgerdemannia|Jimgerdemannia ambigua;2704024||Mucoromycota|Endogonomycetes|Endogonales|Endogonaceae|Vinositunica|Vinositunica radiata;2704025||Mucoromycota|Endogonomycetes|Endogonales|Endogonaceae|Vinositunica|Vinositunica ingens	586.500000
barcode19	60	0.000629	45553	45553||Ascomycota|Dipodascomycetes|Dipodascales|Trichomonascaceae|Wickerhamiella|Wickerhamiella galacta	26.900000
barcode19	62	0.003699	61418	61418||Zoopagomycota|Kickxellomycetes|Kickxellales|Kickxellaceae|Spiromyces|Spiromyces minutus	158.300000
barcode19	63	0.001877	1208333	1208333||Mucoromycota|Glomeromycetes|Diversisporales|Gigasporaceae|Dentiscutata|Dentiscutata savannicola	80.300000
barcode19	66	0.002813	5491;45354;46584;46585;78172;391824	5491||Ascomycota|Pichiomycetes|Serinales|Metschnikowiaceae|Helenozyma|Helenozyma melibiosica;45354||Ascomycota|Pichiomycetes|Serinales|Metschnikowiaceae|Sungouiella|Sungouiella intermedia;46584||Ascomycota|Pichiomycetes|Serinales|Metschnikowiaceae|Danielia|Danielia oregonensis;46585||Ascomycota|Pichiomycetes|Serinales|Metschnikowiaceae|Sungouiella|Sungouiella pseudointermedia;78172||Ascomycota|Pichiomycetes|Serinales|Metschnikowiaceae|Sungouiella|Sungouiella akabanensis;391824||Ascomycota|Pichiomycetes|Serinales|Metschnikowiaceae|Sungouiella|Sungouiella blattae	120.400000
barcode19	68	0.001782	78917	78917||Zoopagomycota|Zoopagomycetes|Zoopagales|Piptocephalidaceae|Piptocephalis|Piptocephalis corymbifera	76.300000
barcode19	71	0.000537	34356;95809;234567;234568	34356||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Kodamaea|Kodamaea ohmeri;95809||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Kodamaea|Kodamaea fungicola;234567||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Kodamaea|Kodamaea derodonti;234568||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Kodamaea|Kodamaea arcana	23.000000
barcode19	72	0.001007	246081;507509	246081||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Suhomyces|Suhomyces kunorum;507509||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Danielozyma|Danielozyma litseae	43.100000
barcode19	73	0.000764	243823;243824;1985864;1985866;3044046	243823||Basidiomycota|Microbotryomycetes|Sporidiobolales|Sporidiobolaceae|Sporobolomyces|Sporobolomyces beijingensis;243824||Basidiomycota|Microbotryomycetes|Sporidiobolales|Sporidiobolaceae|Sporobolomyces|Sporobolomyces jilinensis;1985864||Basidiomycota|Microbotryomycetes|Heitmaniales|Heitmaniaceae|Heitmania|Heitmania litseae;1985866||Basidiomycota|Microbotryomycetes|Heitmaniales|Heitmaniaceae|Heitmania|Heitmania elacocarpi;3044046||Basidiomycota|Microbotryomycetes|Leucosporidiales|Leucosporidiaceae|Leucosporidium|Leucosporidium egoroviorum	32.700000
