node	module	degree	strength	betweenness	closeness	genus	species	Phylum	Class	Order	Family	evidence_category	is_degrader
OTU_202	2	91	75.229	17.495	8.37e-4	Sphingomonas	Sphingomonas arvum	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_210	1	44	36.629	5073.843	9.35e-4	Abditibacterium	Abditibacterium utsteinense	Abditibacteriota	Abditibacteriia	Abditibacteriales	Abditibacteriaceae	NA	FALSE
OTU_211	2	83	66.771	17.3	9.14e-4	Falsiroseomonas	Falsiroseomonas stagni	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	NA	FALSE
OTU_214	2	98	79.371	158.501	9.32e-4	Sandaracinobacteroides	Sandaracinobacteroides sayramensis	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	NA	FALSE
OTU_216	2	70	57.829	7.899	8.86e-4	Qipengyuania	Qipengyuania thermophila	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	NA	FALSE
OTU_22	3	5	3.857	1824	5.69e-4	Sphingomonas	Sphingomonas cremea	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_223	2	104	84.343	8.204	9.28e-4	Anaerotignum	Anaerotignum aminivorans	Bacillota	Clostridia	Lachnospirales	Anaerotignaceae	NA	FALSE
OTU_225	2	96	83.2	15.049	9.51e-4	Piscinibacter	Piscinibacter aquaticus	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	NA	FALSE
OTU_227	3	8	6.229	458	4.81e-4	Devosia	Devosia insulae	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	NA	FALSE
OTU_228	2	91	75.229	17.495	8.37e-4	Acetobacterium	Acetobacterium malicum	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	BOTH	TRUE
OTU_229	3	11	9.4	382.667	4.84e-4	Kiloniella	Kiloniella litopenaei	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Kiloniellaceae	NA	FALSE
OTU_23	1	75	61.914	13.372	8.21e-4	Anaeromyxobacter	Anaeromyxobacter diazotrophicus	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	BOTH	TRUE
OTU_230	1	76	64.971	114.277	8.45e-4	Ferruginibacter	Ferruginibacter paludis	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA	FALSE
OTU_231	2	79	66.6	15.516	8.19e-4	Rubellimicrobium	Rubellimicrobium roseum	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	NA	FALSE
OTU_232	2	105	87.4	50.611	9.59e-4	Clostridium	Clostridium swellfunianum	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_234	1	77	67.571	5.017	8.46e-4	Pseudobacteroides	Pseudobacteroides cellulosolvens	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_237	1	75	65.514	30.466	8.45e-4	Nitrobacter	Nitrobacter hamburgensis	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	NA	FALSE
OTU_238	2	83	66.714	12.304	9.04e-4	Rubrivirga	Rubrivirga profundi	Rhodothermota	Rhodothermia	Rhodothermales	Rubricoccaceae	NA	FALSE
OTU_239	1	72	61.886	13.137	8.45e-4	Novosphingobium	Novosphingobium soli	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	POP_BROAD	TRUE
OTU_240	1	46	36.8	20.508	7.27e-4	Youngiibacter	Youngiibacter multivorans	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_242	1	72	61.886	13.137	8.45e-4	Novosphingobium	Novosphingobium tardum	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	POP_BROAD	TRUE
OTU_243	2	95	80.143	10.711	9.55e-4	Anaerocolumna	Anaerocolumna chitinilytica	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
OTU_245	1	76	64.971	114.277	8.45e-4	Sedimentibacter	Sedimentibacter hydroxybenzoicus	Bacillota	Tissierellia	NA	NA	NA	FALSE
OTU_246	2	101	83.171	438.299	0.001057	Aliitabrizicola	Alitabrizicola rongguiensis	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
OTU_247	2	96	83.2	15.049	9.51e-4	Xylanivirga	Xylanivirga thermophila	Bacillota	Clostridia	Caldicoprobacterales	Xylanivirgaceae	NA	FALSE
OTU_248	2	92	74.114	38.191	9.2e-4	Tabrizicola	Tabrizicola caldifontis	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
OTU_249	4	7	6.257	160.5	9.79e-4	Caloramator	Caloramator coolhaasii	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
OTU_25	1	2	1.543	0	6.06e-4	Geotalea	Geotalea daltonii	Thermodesulfobacteriota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA	FALSE
OTU_250	2	99	84.371	414.671	0.001071	Anaerocolumna	Anaerocolumna aminovalerica	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
OTU_251	2	96	78.971	11.823	9.11e-4	Gemmobacter	Gemmobacter aquatilis	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
OTU_252	1	36	29.543	4009.621	9.25e-4	Oscillibacter	Oscillibacter valericigenes	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_253	2	99	84.371	414.671	0.001071	Christensenella	Christensenella hongkongensis	Bacillota	Clostridia	Christensenellales	Christensenellaceae	NA	FALSE
OTU_254	2	96	78.971	11.823	9.11e-4	Quisquiliibacterium	Quisquiliibacterium transsilvanicum	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA	FALSE
OTU_255	1	72	61.886	13.137	8.45e-4	Solibaculum	Solibaculum mannosilyticum	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_256	2	99	84.371	414.671	0.001071	Paragemmobacter	Paragemmobacter amnigenus	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	FALSE
OTU_257	1	77	68.086	21.229	8.56e-4	Defluviicoccus	Defluviicoccus vanus	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA	FALSE
OTU_258	2	70	57.829	7.899	8.86e-4	Sandarakinorhabdus	Sandarakinorhabdus fusca	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	NA	FALSE
OTU_259	2	104	84.343	8.204	9.28e-4	Sphingomonas	Sphingomonas mohensis	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_26	1	77	68.086	21.229	8.56e-4	Erysipelothrix	Erysipelothrix larvae	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	FALSE
OTU_261	2	99	84.371	414.671	0.001071	Anaerobacterium	Anaerobacterium chartisolvens	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_264	2	81	65.971	58.203	9.29e-4	Sphingomonas	Sphingomonas fonticola	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_265	2	92	77.714	426.906	0.001072	Aurantibacillus	Aurantibacillus circumpalustris	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Aurantibacillaceae	NA	FALSE
