sample_id	estimated_counts	abundance	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group
barcode14_120_filtered	16.35036819812944	0.0003498153230237	80878	Acidovorax temperans	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota					
barcode14_120_filtered	15.111350075733103	0.0003233065912651	3056842	Novosphingobium pituita	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	15.00000000002086	0.0003209242618746	2358	Desulfomonile tiedjei	Desulfomonile	Desulfomonilaceae	Desulfomonilales	Desulfomonilia	Thermodesulfobacteriota					
barcode14_120_filtered	13.000000000000002	0.0002781343602909	645	Aeromonas salmonicida	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota					
barcode14_120_filtered	11.0	0.0002353444587077	2594430	Flavobacterium franklandianum	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group				
barcode14_120_filtered	11.000000000000322	0.0002353444587077	55583	Dehalobacter restrictus	Dehalobacter	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode15_120_filtered	197.9727178634021	0.0042291922382218	2305907	Sphingomonas gilva	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	195.0878753088087	0.0041675647883789	52692	Acetobacterium malicum	Acetobacterium	Eubacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode15_120_filtered	157.79312443775672	0.0033708556629372	33052	Sphingopyxis terrae	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	138.31068694798978	0.0029546620868597	2824118	Ideonella alba	Ideonella	Sphaerotilaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota					
barcode15_120_filtered	115.03178969677325	0.0024573666381144	173676	Novosphingobium hassiacum	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	96.25575163354402	0.0020562635199748	2992113	Sphingomonas arvum	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	92.8067645343017	0.0019825845321463	3375356	Desulfitobacterium nosdiversum	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode15_120_filtered	90.41971216618404	0.0019315911252949	1632740	Sphingomonas zeicaulis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	87.01062689132172	0.0018587645402004	173675	Sphingopyxis witflariensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	81.66545038977829	0.0017445782057588	1078469	Sphingorhabdus planktonica	Sphingorhabdus	Sphingorhabdaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	79.57971347718693	0.0017000216504066	2782540	Sphingomonas beigongshangi	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	73.56897947079896	0.0015716173435901	553814	Acidovorax carolinensis	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota					
barcode15_120_filtered	65.72000366120068	0.0014039435957616	1141888	Sphingomonas difficilis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	63.875244383296575	0.0013645349251948	1282858	Sphingorhabdus rigui	Sphingorhabdus	Sphingorhabdaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	53.66518490746126	0.0011464225269159	1460355	Sphingomonas mohensis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	52.18599281973658	0.0011148232855469	49338	Desulfitobacterium hafniense	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode15_120_filtered	46.03401948960176	0.0009834017536391	2590199	Anaeromyxobacter diazotrophicus	Anaeromyxobacter	Anaeromyxobacteraceae	Myxococcales	Myxococcia	Myxococcota					
