OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	threepoint_status	cluster_id	cluster_total_support_reads	assigned_phylum_support_pct	top_phylum_in_cluster	top_phylum_support_pct	assigned_class_support_pct	top_class_in_cluster	top_class_support_pct	assigned_order_support_pct	top_order_in_cluster	top_order_support_pct	assigned_family_support_pct	top_family_in_cluster	top_family_support_pct	assigned_genus_support_pct	top_genus_in_cluster	top_genus_support_pct	assigned_species_support_pct	top_species_in_cluster	top_species_support_pct
OTU_113	661	84	205	372	1		Chytridiomycota	Chytridiomycetes	Gromochytriales	Gromochytriaceae	Gromochytrium	Gromochytrium mamkaevae	pass	113	713.500	100.00	Chytridiomycota	100.00	100.00	Chytridiomycetes	100.00	100.00	Gromochytriales	100.00	100.00	Gromochytriaceae	100.00	100.00	Gromochytrium	100.00	100.00	Gromochytrium mamkaevae	100.00
OTU_68	624	76	139	408	1		Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis corymbifera	pass	68	663.600	100.00	Zoopagomycota	100.00	100.00	Zoopagomycetes	100.00	100.00	Zoopagales	100.00	100.00	Piptocephalidaceae	100.00	100.00	Piptocephalis	100.00	100.00	Piptocephalis corymbifera	100.00
OTU_303	623	78	221	324	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Gorgonomycetaceae	Gorgonomyces	Gorgonomyces thailandicus	pass	303	657.500	100.00	Chytridiomycota	100.00	100.00	Chytridiomycetes	100.00	100.00	Rhizophydiales	100.00	100.00	Gorgonomycetaceae	100.00	100.00	Gorgonomyces	100.00	100.00	Gorgonomyces thailandicus	100.00
OTU_49	588	82	155	351	3		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella osmotolerans	pass	49	606.100	100.00	Ascomycota	100.00	100.00	Dipodascomycetes	100.00	100.00	Dipodascales	100.00	100.00	Trichomonascaceae	100.00	100.00	Wickerhamiella	100.00	60.96	Wickerhamiella osmotolerans	60.96
OTU_294	582	24	152	406	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Buwchfawromyces	Buwchfawromyces eastonii	pass	294	623.700	100.00	Chytridiomycota	100.00	100.00	Neocallimastigomycetes	100.00	100.00	Neocallimastigales	100.00	100.00	Neocallimastigaceae	100.00	100.00	Buwchfawromyces	100.00	100.00	Buwchfawromyces eastonii	100.00
OTU_44	578	122	200	256	5		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	[Candida] blattariae	pass	44	578.400	100.00	Ascomycota	100.00	100.00	Pichiomycetes	100.00	100.00	Serinales	100.00	100.00	Debaryomycetaceae	100.00	87.52	Yamadazyma	87.52	49.69	[Candida] blattariae	49.69
OTU_77	569	41	195	333	1		Mucoromycota	Glomeromycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora ecuadoriana	pass	77	620.700	100.00	Mucoromycota	100.00	100.00	Glomeromycetes	100.00	100.00	Archaeosporales	100.00	100.00	Archaeosporaceae	100.00	100.00	Archaeospora	100.00	100.00	Archaeospora ecuadoriana	100.00
OTU_88	562	438	45	79	3		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum myosotidii	pass	88	561.500	100.00	Basidiomycota	100.00	100.00	Pucciniomycetes	100.00	100.00	Pucciniales	100.00	62.78	Pucciniastraceae	62.78	62.78	Pucciniastrum	62.78	62.78	Pucciniastrum myosotidii	62.78
OTU_73	558	33	116	409	5		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces beijingensis	pass	73	557.500	100.00	Basidiomycota	100.00	100.00	Microbotryomycetes	100.00	65.29	Sporidiobolales	65.29	65.29	Sporidiobolaceae	65.29	65.29	Sporobolomyces	65.29	46.92	Sporobolomyces beijingensis	46.92
OTU_179	507	35	165	306	3		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces cellobiolyticus	pass	179	548.800	100.00	Basidiomycota	100.00	100.00	Microbotryomycetes	100.00	100.00	Sporidiobolales	100.00	100.00	Sporidiobolaceae	100.00	100.00	Sporobolomyces	100.00	43.42	Sporobolomyces cellobiolyticus	43.42
