OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	matched_phylum	category
OTU_91	barcode19	117	0.011460	1		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Lipomyces	Lipomyces oligophaga	Ascomycota	Pollutant_responsive
OTU_91	barcode20	160	0.005772	1		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Lipomyces	Lipomyces oligophaga	Ascomycota	Pollutant_responsive
OTU_91	barcode21	389	0.007032	1		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Lipomyces	Lipomyces oligophaga	Ascomycota	Pollutant_responsive
OTU_49	barcode19	82	0.008032	3		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella osmotolerans	Ascomycota	Pollutant_responsive
OTU_49	barcode20	155	0.005591	3		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella osmotolerans	Ascomycota	Pollutant_responsive
OTU_49	barcode21	351	0.006345	3		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella osmotolerans	Ascomycota	Pollutant_responsive
OTU_44	barcode19	122	0.011950	5		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	[Candida] blattariae	Ascomycota	Pollutant_responsive
OTU_44	barcode20	200	0.007215	5		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	[Candida] blattariae	Ascomycota	Pollutant_responsive
OTU_44	barcode21	256	0.004628	5		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	[Candida] blattariae	Ascomycota	Pollutant_responsive
OTU_77	barcode19	41	0.004016	1		Mucoromycota	Glomeromycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora ecuadoriana	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_77	barcode20	195	0.007034	1		Mucoromycota	Glomeromycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora ecuadoriana	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_77	barcode21	333	0.006020	1		Mucoromycota	Glomeromycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora ecuadoriana	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
