OTU_ID	Genus	Species	Phylum	total_reads	barcode19	barcode20	barcode21	min_all	threepoint_status
OTU_204	Hydnum	Hydnum minospororufescens	Basidiomycota	21	0	0	21	0.0	fail
OTU_209	Exserohilum	Exserohilum minor	Ascomycota	21	0	0	21	0.0	fail
OTU_241	Annabella	Annabella australiensis	Ascomycota	21	0	0	21	0.0	fail
OTU_43	Colletotrichum	Colletotrichum abscissum	Ascomycota	20	20	0	0	0.0	fail
OTU_119	Paraisaria	Paraisaria alba	Ascomycota	20	0	0	20	0.0	fail
OTU_155	Alphamyces	Alphamyces chaetifer	Chytridiomycota	20	0	20	0	0.0	fail
OTU_202	Amanita	Amanita vernicoccora	Basidiomycota	20	0	0	20	0.0	fail
OTU_217	Inocybe	Inocybe viscata	Basidiomycota	20	0	20	0	0.0	fail
OTU_55	Boothiomyces	Boothiomyces macroporosus	Chytridiomycota	19	0	0	19	0.0	fail
OTU_69	Geotrichum	Geotrichum fermentans	Ascomycota	19	0	0	19	0.0	fail
OTU_123	Falcocladium	Falcocladium turbinatum	Ascomycota	19	0	19	0	0.0	fail
OTU_146	Bensingtonia	Bensingtonia pseudorectispora	Basidiomycota	19	0	0	19	0.0	fail
OTU_150	Rhizopogon	Rhizopogon arctostaphyli	Basidiomycota	19	0	19	0	0.0	fail
OTU_198	Sistotrema	Sistotrema chloroporum	Basidiomycota	19	0	0	19	0.0	fail
OTU_253	Vanrija	Vanrija nantouana	Basidiomycota	19	0	19	0	0.0	fail
OTU_281	Neosarcodon	Neosarcodon umbilicatus	Basidiomycota	19	0	0	19	0.0	fail
OTU_129	Arxiozyma	Arxiozyma pintolopesii	Ascomycota	18	0	0	18	0.0	fail
OTU_167	Circinella	Circinella lacrymispora	Mucoromycota	18	0	18	0	0.0	fail
OTU_190	Hydnum	Hydnum itachiharitake	Basidiomycota	18	0	0	18	0.0	fail
OTU_244	Sporopachydermia	Sporopachydermia quercuum	Ascomycota	18	0	0	18	0.0	fail
OTU_249	Papiliotrema	Papiliotrema zeae	Basidiomycota	18	0	0	18	0.0	fail
OTU_255	Aquamyces	Aquamyces chlorogonii	Chytridiomycota	18	0	0	18	0.0	fail
OTU_265	Plectosphaerella	Plectosphaerella niemeijerarum	Ascomycota	18	18	0	0	0.0	fail
OTU_278	Bulleribasidium	Bulleribasidium cremeum	Basidiomycota	18	0	0	18	0.0	fail
OTU_111	Octospora	Octospora oscarii	Ascomycota	17	0	0	17	0.0	fail
OTU_277	Leptosphaeria	Leptosphaeria irregularis	Ascomycota	17	0	0	17	0.0	fail
OTU_300	Kodamaea	Kodamaea nitidulidarum	Ascomycota	17	0	0	17	0.0	fail
OTU_13	Pseudoteratosphaeria	Pseudoteratosphaeria ohnowa	Ascomycota	16	0	0	16	0.0	fail
OTU_37	Kondoa	Kondoa yuccicola	Basidiomycota	16	0	16	0	0.0	fail
OTU_80	Chordomyces	Chordomyces antarcticum	Ascomycota	16	16	0	0	0.0	fail
OTU_87	Diutina	Diutina rugosa	Ascomycota	16	0	16	0	0.0	fail
OTU_106	Pleurocordyceps	Pleurocordyceps ophiocordycipiticola	Ascomycota	16	0	0	16	0.0	fail
OTU_160	Kondoa	Kondoa ribitophobia	Basidiomycota	16	0	0	16	0.0	fail
OTU_164	Oberwinklerozyma	Oberwinklerozyma dicranopteridis	Basidiomycota	16	0	0	16	0.0	fail
OTU_215			Mucoromycota	16	0	0	16	0.0	fail
OTU_256	Octaviania	Octaviania nonae	Basidiomycota	16	0	16	0	0.0	fail
OTU_272	Apiotrichum	Apiotrichum cacaoliposimile	Basidiomycota	16	0	0	16	0.0	fail
OTU_273	Bulleribasidium	Bulleribasidium setariae	Basidiomycota	16	0	0	16	0.0	fail
OTU_7	Pseudozyma	Pseudozyma pruni	Basidiomycota	15	0	15	0	0.0	fail
