OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_116	barcode21	327	0.003345	1		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae
OTU_271	barcode19	43	0.002127	1		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae
OTU_271	barcode20	138	0.002812	1		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae
OTU_271	barcode21	275	0.002813	1		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae
OTU_197	barcode19	40	0.001978	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana
OTU_197	barcode20	101	0.002058	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana
OTU_197	barcode21	308	0.003151	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana
OTU_258	barcode19	43	0.002127	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana
OTU_258	barcode20	73	0.001488	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana
OTU_258	barcode21	332	0.003397	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana
OTU_216	barcode19	43	0.002127	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum
OTU_216	barcode20	95	0.001936	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum
OTU_216	barcode21	243	0.002486	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum
OTU_57	barcode19	232	0.011473	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata
OTU_57	barcode20	43	0.000876	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata
OTU_57	barcode21	97	0.000992	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata
