OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	threepoint_status
OTU_248	142	66	20	55	1		Ascomycota	Trigonopsidomycetes	Trigonopsidales	Trigonopsidaceae	Tortispora	Tortispora agaves	pass
OTU_163	140	57	28	55	1		Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus chrysocarpus	pass
OTU_82	138	19	24	95	3		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Myxozyma	Myxozyma vanderwaltii	pass
OTU_10	135	11	46	78	1		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora fijiensis	pass
OTU_275	129	15	27	86	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Starmerella	Starmerella vitae	pass
OTU_115	118	33	28	57	1		Ascomycota	Dothideomycetes	Kirschsteiniotheliales	Kirschsteiniotheliaceae	Kirschsteiniothelia	Kirschsteiniothelia puerensis	pass
OTU_19	104	13	32	58	1		Ascomycota	Sordariomycetes		Atractosporaceae	Atractospora	Atractospora decumbens	pass
OTU_112	80	21	22	37	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Pecoramyces	Pecoramyces ruminantium	pass
OTU_85	77	15	25	36	1		Mucoromycota		Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella thermophila	pass
OTU_9	73	14	15	44	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Mycoemilia	Mycoemilia scoparia	pass
OTU_45	65	17	20	28	1		Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium	Synchytrium microbalum	pass
OTU_96	56	12	20	25	1		Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Cyanodermella	Cyanodermella oleoligni	pass
